Politician,Party,current # of seats ,Biography,Link to party website,Fact 1,Fact 2,Fact 3,Gaza & Security,Cost of Living,Judicial Reform,Haredi Draft,Religion & Public Space,Arab-Israeli Integration,Palestinian Statehood,Internal Cohesion,Settlements,Foreign Relations,Free Market Priority,Two-State Separation,Judicial Override,Universal Enlistment,State Commission (Oct 7),Shabbat Public Transit,West Bank Annexation,Rabbinical Court Power,Basic Law: Equality
Benjamin Netanyahu,Likud,32,"Benjamin Netanyahu is the longest-serving Prime Minister in Israel's history. Before entering politics, he served as an officer in the Sayeret Matkal special forces unit. He earned degrees from MIT and worked as a corporate consultant in the United States. He served as Israel’s Ambassador to the United Nations in the 1980s before assuming leadership of the Likud party in 1993. He has served multiple terms as Prime Minister (1996–1999, 2009–2021, and 2022–present).",https://www.likud.org.il/,"Economic Policy: As Finance Minister in the early 2000s, he implemented extensive free-market policies, privatizing state assets and reducing public sector spending.","Diplomatic Strategy: He is a primary architect of the Abraham Accords, which established diplomatic relations with several Arab states separate from the Palestinian diplomatic track.","Legal Status: He is the first sitting Israeli Prime Minister to be indicted; his ongoing trial on charges of bribery, fraud, and breach of trust has been a central factor in recent coalition formations.",Supports sustained military application to eliminate security threats; emphasizes Israeli security control over Gaza.,"Focuses on reducing regulations, opening markets to imports, and minimizing government intervention.","Led the coalition that introduced legislation to alter the balance of power, arguing the judiciary has assumed executive authority.",Demonstrates willingness to support legislative exemptions for ultra-Orthodox yeshiva students to maintain coalition agreements.,Maintains the existing integration of orthodox religious institutions and state functions.,"Emphasizes the Jewish national identity of the state, notably through the 2018 Nation-State Law.","Opposes the creation of a sovereign Palestinian state, citing national security concerns.",Utilizes political messaging focused on mobilizing core constituencies and emphasizing ideological distinctions.,Supports the expansion and continued funding of Israeli settlements in the West Bank.,Prioritizes independent Israeli action regarding security while maintaining defensive alliances with the United States.,Support,Oppose,Ambiguous,Support,Ambiguous,Oppose,Support,Support,Ambiguous
Naftali Bennett,Bennett 2026,N/A,"Bennett served as a company commander in the Maglan special forces unit. He later co-founded and sold multiple international technology companies, including Cyota and Soluto. Entering politics as Netanyahu's Chief of Staff, he subsequently led the Jewish Home party. In 2021, he formed a rotation government consisting of right-wing, centrist, left-wing, and Arab parties, serving as Prime Minister. He recently re-entered politics with the ""Bennett 2026"" faction.",https://en.wikipedia.org/wiki/Naftali_Bennett,Religious Demographics: He was Israel's first religiously observant Prime Minister.,"Coalition Formation: He led a coalition that included parties from across the entire Israeli political spectrum, including an Arab-Islamist party.",Private Sector Background: He built a career as a technology entrepreneur before entering public service.,Supports a preemptive security doctrine and continuous tactical pressure against regional threats.,"Supports policies that decrease labor union influence, break up monopolies, and lower taxes.",Opposes the 2023 legislative overhaul; supports gradual judicial adjustments based on broad political consensus.,Supports policies aimed at integrating the ultra-Orthodox population into the workforce and the military.,Identifies as Modern Orthodox; opposes state religious coercion and supports dialogue between demographic sectors.,Supports economic investment in Arab municipalities while maintaining strict Zionist national policies.,Opposes a Palestinian state; previously published plans to annex Area C of the West Bank.,Campaigns on a platform emphasizing political unity and consensus-building.,"Ideologically supports the settlement movement, though he suspended annexation plans during his tenure as Prime Minister to maintain his coalition.",Focuses on expanding international trade while maintaining alliances with Western nations.,Support,Oppose,Ambiguous,Support,Support,Ambiguous,Support,Ambiguous,Ambiguous
Benny Gantz,National Unity Party,12,"Benny Gantz served in the Israel Defense Forces for nearly four decades, reaching the position of Chief of General Staff (2011–2015). He entered politics in 2019, forming the Blue and White alliance. Gantz has served as Minister of Defense and Alternate Prime Minister. He joined an emergency war cabinet following the October 2023 attacks, later resigning over strategic disagreements regarding the conduct of the war.",https://kachollavan.org.il/,Military Background: His political profile is heavily based on his tenure as the highest-ranking officer in the IDF.,"Political Doctrine: His platform is centered on the concept of Mamlachtiyut (Stateliness), which prioritizes state institutions over partisan interests.","Unity Governments: He has entered into multiple coalition agreements with Benjamin Netanyahu during national crises, a move that has drawn criticism from his political base.",Supports military action combined with the establishment of long-term strategic plans and regional alliances for governance.,"Supports a mixed economy, combining free-market principles with state investment in public services.",Opposes the 2023 judicial legislation; supports the existing independence and authority of the Supreme Court.,"Proposes an ""Equality in the Burden"" model requiring all citizens to perform either military or recognized civil service.",Supports a tolerant interpretation of Jewish identity and opposes orthodox monopolies on civil institutions like marriage.,Supports civic equality and increased law enforcement to address organized crime in Arab municipalities.,"Emphasizes political separation and reducing conflict, while maintaining Israeli security control in the Jordan Valley.",Identifies societal division as a primary strategic vulnerability and campaigns on reducing political polarization.,Supports the maintenance of major settlement blocs while avoiding the expansion of isolated outposts.,Prioritizes the strategic alliance with the United States and supports normalization agreements with moderate regional states.,Ambiguous,Support,Oppose,Support,Support,Support,Ambiguous,Oppose,Support
Gadi Eisenkot,Yashar! ,N/A,"Gadi Eisenkot served as the IDF Chief of General Staff from 2015 to 2019. He authored military doctrines focused on deterrence and infrastructure targeting. He entered politics with the National Unity party and served in the emergency war cabinet in 2023. He recently launched a new political movement, ""Yashar!,"" focused on systemic governance reform.",https://yasharwitheisenkot.com/,Personal Bereavement: He lost his youngest son and his nephew during combat operations in the 2023 Gaza War.,Military Pragmatism: He is noted for his direct communication regarding the limitations of military power and the necessity of strategic planning.,"Constitutional Reform: His political platform explicitly calls for formalizing the separation of powers through a broad, consensus-based Israeli Constitution.",Advocates for a security doctrine focused on restoring deterrence and securing borders rather than long-term territorial occupation.,Supports a free-market economy combined with state subsidies for geographic periphery regions.,Opposes the 2023 judicial legislation. Advocates for a Basic Law defining the legislative process to stabilize the balance of powers.,Supports mandatory military or civil service for all demographic sectors.,"Supports policies based on the Declaration of Independence, protecting freedom of religion and freedom from religious coercion.",Pledges civil equality for minority citizens and focuses on economic integration.,Prioritizes maintaining a Jewish demographic majority through separation from Palestinian populations over territorial expansion.,Centers his political platform on societal healing and unity following the events of 2023.,Supports maintaining strategic borders but opposes settlement activities that complicate diplomatic standing or demographic balances.,Focuses on aligning Israel's security strategy with Western alliances.,Ambiguous,Ambiguous,Oppose,Support,Support,Ambiguous,Ambiguous,Ambiguous,Support
Yair Golan,Democrats,4,"Yair Golan is a retired IDF Major General who served as Deputy Chief of the General Staff. He entered politics with the Meretz party and served as Deputy Minister of Economy. In 2024, he was elected leader of the Labor Party and facilitated a merger with Meretz, creating a unified faction called ""The Democrats.""",https://democrats.org.il/,"October 7 Actions: During the 2023 attacks, he independently traveled to the conflict zone and assisted in the evacuation of civilians.",Public Statements: He generated public debate following a 2016 speech where he drew comparisons between concerning societal trends in Israel and historical trends in Europe.,Party Merger: He executed the organizational merger of Israel's two primary left-wing Zionist parties into a single political entity.,Argues that military operations must be accompanied by diplomatic agreements; supports prioritizing hostage negotiations.,"Identifies as a social democrat; supports government economic intervention, labor unions, and funding for the public sector.",Opposes the 2023 judicial legislation; supports the preservation of the Supreme Court's existing authority and independence.,Supports the immediate cessation of sector-wide military exemptions and the implementation of a universal draft.,"Supports the separation of religion and state, including the institution of civil marriage and the operation of public transportation on the Sabbath.",Supports the full integration of Arab citizens into national political leadership and public administration.,Supports a negotiated two-state framework to ensure a Jewish demographic majority and end military administration in the West Bank.,Campaigns against right-wing political factions and focuses on traditional socialist-Zionist principles.,"Opposes settlement expansion, describing it as an obstacle to diplomatic agreements and security.",Supports alignment with Western democratic norms and proactive participation in diplomatic peace processes.,Oppose,Support,Oppose,Support,Ambiguous,Support,Oppose,Oppose,Support
Aryeh Deri,Shas,11,"Aryeh Deri serves as the chairman of Shas, a party founded in 1984. He has held multiple ministerial roles, including Minister of the Interior. In 2021, he resigned from the Knesset following a plea bargain regarding tax offenses, but returned to the government in 2022. Following a Supreme Court ruling in early 2023, he relinquished his ministerial posts but remained a Knesset member and the leader of the party.",https://en.wikipedia.org/wiki/Shas,Constituency Focus: He leads a party explicitly founded to represent the interests of Sephardic and Mizrahi Haredi Jews.,"Educational Infrastructure: His party established and operates its own government-funded religious education system, Ma'Ayan HaHinuch HaTorani.","Legislative Priorities: Under his leadership, the party advocates for the increased influence of Halakha (Jewish religious law) within Israeli society.",Defers to the defense establishment on operational matters while prioritizing coalition stability.,Supports social welfare policies and government assistance targeted at lower-income populations.,Supports legislative changes to the judicial system and the reduction of judicial oversight.,Opposes the mandatory conscription of Haredi men into national service.,Advocates for maintaining orthodox traditions and Jewish religious law in the public sphere.,Prioritizes Jewish religious and cultural heritage and the socioeconomic advancement of the Sephardic population.,"Historically maintained a moderate stance, but shifted to oppose settlement freezes and support the Greater Jerusalem plan.",Focuses on addressing economic and social disparities affecting the Sephardic population.,Supports the consolidation of Israeli settlement interests in the West Bank.,Focuses on protecting religious institutions and interests within diplomatic frameworks.,Oppose,Oppose,Ambiguous,Oppose,Ambiguous,Oppose,Support,Support,Ambiguous
Mansour Abbas,United Arab List (Ra'am),5,"Mansour Abbas is the chairman of the United Arab List, which operates as the political wing of the Southern Branch of the Islamic Movement in Israel. He holds a degree in dentistry from the Hebrew University of Jerusalem. In 2021, he led his party to become the first independent Arab party to join an Israeli governing coalition, signing an agreement with Yair Lapid and Naftali Bennett.",https://en.wikipedia.org/wiki/United_Arab_List,"Policy Shift: He directed his party to focus on full political involvement in domestic Israeli politics to secure municipal funding, rather than remaining strictly in the opposition.","Sectoral Funding: His 2021 coalition agreement included guarantees for extensive state investment to improve infrastructure, housing, and crime reduction in Arab towns.","Voter Base: His primary constituency consists of religious or nationalist Israeli Arabs, and the party holds particular popularity among the Negev Bedouin.",Prioritizes domestic civic issues over military or foreign policy involvement.,"Advocates for increased state funding for infrastructure, housing, and employment in Arab municipalities.",Aligns with maintaining minority protections within the judicial system.,Focuses on Arab civic issues rather than national military conscription debates.,Represents an Islamist and socially conservative platform.,Emphasizes pragmatic political participation to secure state funding and improve daily services for the Arab sector.,Supports the two-state framework and the creation of a Palestinian state with East Jerusalem as its capital.,Focuses on addressing high crime rates within Arab communities.,"Opposes settlement expansion, aligning with the two-state framework.",Prioritizes domestic budgets over international diplomatic positioning.,Ambiguous,Support,Ambiguous,Oppose,Ambiguous,Ambiguous,Oppose,Ambiguous,Ambiguous
Yair Lapid,Yesh Atid,24,"Yair Lapid is the leader of Yesh Atid. Prior to entering politics, he worked as an author, television presenter, and news anchor. He entered politics in 2012, subsequently serving as Minister of Finance. He later served as Prime Minister of Israel during the 36th government rotation agreement.",https://yeshatid.org.il/,"Governance Reform: He advocates for reducing the size of the government, proposing a statutory limit of 18 ministers.",Constitutional Policy: He supports the drafting of a formal Israeli constitution that includes term limits and basic laws regarding legislation and the judiciary.,"Educational Core: He promotes legislation requiring all state-funded educational institutions to teach a full core curriculum (Liba), linking compliance to state funding.",Supports the establishment of a state commission of inquiry regarding the events of October 7.,Proposes establishing a dedicated government ministry focused exclusively on addressing the cost of living.,Opposes the recent judicial legislation and pledges to cancel the judicial overhaul laws.,"Supports universal conscription, proposing that individuals who do not enlist will be ineligible for state funding.",Supports the implementation of civil marriage and the operation of public transportation on the Sabbath in secular municipalities.,Emphasizes civic equality and the requirement of core educational standards across all sectors.,Traditionally supports a two-state framework contingent on security guarantees for Israel.,Promotes a national program to address organized crime through coordinated efforts between the police and government branches.,Differentiates between maintaining major settlement blocs and limiting isolated outposts.,Advocates for unifying public diplomacy efforts and coordinating with diaspora Jewry to improve Israel's international standing.,Ambiguous,Ambiguous,Oppose,Support,Support,Support,Ambiguous,Ambiguous,Ambiguous
Yoaz Hendel,HaMiluimnikim,N/A,"Yoaz Hendel is the leader of HaMiluimnikim (The Reservists), a political party established in 2025. He previously served as Minister of Communications. Prior to his political career, he served as a military officer in naval special operations, and later worked as a journalist, author, and historian.",https://www.themiluimnikim.org.il/?1,"Party Foundation: He founded the party to explicitly promote Zionist values, including settlement, immigrant absorption, and homeland defense.",Universal Service: His platform centers on the requirement of mandatory military or national service for every citizen.,Systemic Reform: He proposes altering the electoral system and balancing the branches of government through the promotion of a formalized constitution.,Emphasizes homeland defense and recognizing the sacrifices required for national security.,Focuses on structural governance reform as a prerequisite for economic stability.,Supports balancing the branches of government and creating a formal constitution to resolve structural disputes.,Supports mandatory military or national service for all citizens across all demographic sectors.,Focuses on broad national unity over sectoral religious legislation.,Emphasizes universal national service as a foundational requirement for civic participation.,Traditionally holds right-leaning views regarding territorial retention.,"Prioritizes national unity, respectful public discourse, and respect for political opponents.",Promotes the value of settlement as a core Zionist principle.,Focuses on immigrant absorption and strengthening Zionist identity globally.,Ambiguous,Ambiguous,Ambiguous,Support,Ambiguous,Ambiguous,Ambiguous,Ambiguous,Ambiguous
Ayman Odeh,Hadash,5,"Ayman Odeh is the leader of Hadash (The Democratic Front for Peace and Equality). He is a lawyer from Haifa and has served as a member of the Knesset since 2015. He advocates for Jewish-Arab political partnership and civil rights, leading a joint list with the Ta'al faction.",https://hadash.org.il/,Bi-National Movement: He leads a party that operates explicitly as a joint Jewish-Arab movement focused on diplomatic and social campaigns.,"Economic Policy: His platform advocates for the cancellation of privatizations related to government companies, natural resources, and public services.",Minority Recognition: His party supports the formal recognition of the Arab-Palestinian population in Israel as a national minority with equal civil and national rights.,"Advocates for the demilitarization of the Middle East, including the removal of nuclear weapons, and opposes the blockade of Gaza.","Supports raising the minimum wage to 60% of the average wage, increasing child allowances, and implementing a public housing plan.","Supports the adoption of a democratic constitution to protect human rights, social rights, and ensure a secular state.",Opposes mandatory military service and supports the demilitarization of society.,"Advocates for a secular state, the institution of civil marriage, and the eradication of discrimination based on gender or sexual orientation.",Demands the repeal of the Nation-State Law and the enforcement of laws prohibiting racism and discrimination.,"Supports an independent Palestinian state with East Jerusalem as its capital, based on the June 1967 borders.",Focuses on Jewish-Arab partnership and class-based economic policies.,Calls for a complete withdrawal from all territories occupied in 1967 and the evacuation of all settlements.,Opposes U.S. regional policies and agreements perceived as circumventing Palestinian national rights.,Oppose,Support,Oppose,Oppose,Ambiguous,Support,Oppose,Oppose,Support
